,District,Confirmed,Recoverd,Death,Active
0,TVM,22954,17099,157,5669
1,MPM,13863,10556,41,3260
2,EKM,9934,6816,50,3060
3,KKD,9738,6725,47,2961
4,KLM,7595,4896,32,2664
5,ALP,8691,6312,19,2357
6,KTM,6695,4404,3,2288
7,TSR,7385,5095,29,2259
8,KNR,6760,4508,36,2213
9,KGD,7539,5511,37,1988
10,PKD,6839,5159,18,1660
11,PTA,5184,3982,3,1197
12,IDK,2436,1855,3,577
13,WYD,2250,1686,5,559
