,District,Confirmed,Recoverd,Death,Active
0,TVM,22279,16681,156,5413
1,MPM,13565,10299,39,3221
2,EKM,9615,6445,50,3112
3,KKD,9270,6570,44,3112
4,KLM,7295,4870,31,2651
5,KTM,6508,4273,3,2391
6,TSR,7122,4875,29,2332
7,ALP,8368,6192,19,2216
8,KNR,6513,4329,35,2154
9,KGD,7420,5432,37,2146
10,PKD,6619,5042,12,1948
11,PTA,4948,3825,3,1563
12,IDK,2360,1834,3,1118
13,WYD,2151,1674,5,522
