,District,Confirmed,Recoverd,Death,Active
0,TVM,21623,16413,151,5031
1,MPM,13217,9996,38,3177
2,EKM,9376,6236,49,3083
3,KKD,9010,6264,43,2698
4,KLM,7061,4719,31,2308
5,KTM,6316,4135,3,2178
6,KNR,6300,4101,35,2161
7,TSR,6934,4755,26,2151
8,ALP,8030,5958,19,2050
9,KGD,7248,5174,37,2034
10,PKD,6483,4922,11,1548
11,PTA,4802,3703,3,1094
12,IDK,2331,1791,3,536
13,WYD,2087,1642,5,440
