,District,Confirmed,Recoverd,Death,Active
0,TVM,19819,15006,131,4655
1,EKM,8312,5583,43,2678
2,MPM,11657,9221,33,2397
3,KGD,6816,4634,36,2143
4,TSR,6235,4260,20,1953
5,KTM,5611,3662,3,1946
6,ALP,7308,5369,17,1919
7,KKD,7682,5732,38,1907
8,KLM,6146,4261,26,1856
9,KNR,5371,3682,34,1653
10,PTA,4503,3320,3,1178
11,PKD,5782,4678,4,1098
12,IDK,2119,1679,3,436
13,WYD,1905,1487,5,413
