,District,Confirmed,Recoverd,Death,Active
0,TVM,25524,18698,169,6627
1,MPM,15045,11361,45,3633
2,EKM,11016,7583,53,3372
3,KKD,11099,7692,47,3355
4,ALP,9680,6878,19,2780
5,KLM,8604,5809,39,2753
6,TSR,8358,5568,36,2752
7,KNR,7572,4865,36,2668
8,KTM,7387,4755,3,2629
9,KGD,8194,5947,40,2204
10,PKD,7697,5521,21,2153
11,PTA,5642,4366,3,1271
12,IDK,2687,2029,3,654
13,WYD,2520,1875,5,640
