,District,Confirmed,Recoverd,Death,Active
0,TVM,36433,24037,239,12121
1,EKM,20208,10967,72,9161
2,KKD,21037,12960,70,8001
3,KLM,15528,8676,60,6788
4,MPM,24257,17875,73,6573
5,TSR,15058,8563,55,6437
6,ALP,15670,10212,44,5409
7,KNR,12549,7300,47,5199
8,PKD,13009,7998,38,4972
9,KTM,11489,6739,23,4727
10,KGD,11732,8176,56,3496
11,PTA,8307,6063,6,2237
12,IDK,4058,2820,3,1233
13,WYD,3894,2758,5,1131
