,District,Confirmed,Recoverd,Death,Active
0,TVM,18168,13521,119,4501
1,EKM,7491,5158,39,2286
2,MPM,10768,8793,26,1943
3,KGD,6240,4274,31,1932
4,KTM,5030,3332,3,1695
5,KLM,5331,3644,26,1658
6,TSR,5483,3922,17,1542
7,ALP,6584,5052,16,1513
8,KKD,6845,5321,36,1483
9,KNR,4686,3365,31,1288
10,PTA,4018,3061,3,952
11,PKD,5231,4499,4,726
12,WYD,1709,1427,5,277
13,IDK,1905,1628,3,273
