,District,Confirmed,Recoverd,Death,Active
0,TVM,33495,22938,220,10303
1,EKM,17176,10266,61,6841
2,KKD,17877,11615,70,6186
3,MPM,21566,16001,71,5488
4,KLM,13191,7873,51,5264
5,TSR,12825,7848,49,4925
6,KNR,10970,6686,47,4234
7,ALP,13582,9377,37,4164
8,KTM,10275,6289,18,3968
9,PKD,11232,7458,30,3743
10,KGD,10464,7569,52,2839
11,PTA,7559,5559,5,1994
12,IDK,3635,2636,3,994
13,WYD,3429,2573,5,851
