,District,Confirmed,Recoverd,Death,Active
0,TVM,30171,21192,206,8740
1,EKM,14127,9247,26,4816
2,KKD,14482,9688,61,4728
3,MPM,18380,14176,61,4137
4,KLM,10988,6972,47,3966
5,TSR,10791,6917,43,3828
6,ALP,11919,8114,30,3771
7,KNR,9461,6065,40,3353
8,KTM,8911,5724,12,3175
9,PKD,9445,6560,26,2858
10,KGD,9413,7074,41,2295
11,PTA,6658,4998,4,1655
12,IDK,3232,2358,3,869
13,WYD,2955,2246,5,704
