,District,Confirmed,Recoverd,Death,Active
0,TVM,21291,15998,148,5118
1,MPM,12735,9735,35,2959
2,EKM,9121,6111,48,2954
3,KKD,8628,6141,42,2440
4,KLM,6919,4554,28,2334
5,KTM,6194,4014,3,2177
6,ALP,7923,5760,19,2141
7,TSR,6773,4615,26,2130
8,KGD,7192,5044,36,2109
9,KNR,6068,3966,35,2064
10,PKD,6308,4829,8,1469
11,PTA,4786,3600,3,1181
12,IDK,2273,1766,3,503
13,WYD,2067,1566,5,496
