,District,Confirmed,Recoverd,Death,Active
0,TVM,20879,15707,140,5005
1,EKM,8795,5879,44,2864
2,MPM,12357,9533,35,2783
3,KLM,6714,4414,26,2271
4,KKD,8229,6013,42,2169
5,KGD,7068,4866,36,2163
6,KTM,5998,3889,3,2106
7,TSR,6591,4500,25,2064
8,ALP,7671,5714,19,1935
9,KNR,5834,3878,35,1918
10,PKD,6075,4763,9,1301
11,PTA,4684,3409,3,1270
12,IDK,2233,1746,3,483
13,WYD,2011,1533,5,473
