,District,Confirmed,Recoverd,Death,Active
0,TVM,24700,18134,164,6372
1,MPM,14511,11035,45,3425
2,KKD,10687,7348,47,3287
3,EKM,10665,7394,51,3212
4,KLM,9332,6654,19,2656
5,ALP,8007,5377,32,2596
6,TSR,8168,5566,36,2563
7,KNR,7350,4774,36,2537
8,KTM,7124,4636,3,2485
9,KGD,8003,5745,38,2217
10,PKD,7348,5391,19,1936
11,PTA,5421,4212,3,1204
12,IDK,2640,1975,3,661
13,WYD,2425,1844,5,576
