,District,Confirmed,Recoverd,Death,Active
0,TVM,41472,28403,280,12752
1,EKM,24828,12732,79,12009
2,KKD,26095,15364,76,10649
3,KLM,19083,10474,68,8537
4,TSR,18759,10228,59,8468
5,MPM,29102,21272,90,7733
6,PKD,15452,9341,39,6071
7,KNR,15013,9182,59,5769
8,ALP,18142,12388,54,5695
9,KTM,13576,8473,28,5075
10,KGD,13322,9038,58,4222
11,PTA,9666,6865,6,2794
12,IDK,4507,3251,5,1249
13,WYD,4388,3242,5,1141
