,District,Confirmed,Recoverd,Death,Active
0,TVM,17387,12289,108,4963
1,EKM,7080,4789,38,2245
2,MPM,10257,8389,26,1836
3,KGD,5888,4069,30,1786
4,KKD,6478,4778,31,1664
5,KLM,4932,3309,25,1595
6,KTM,4681,3087,3,1591
7,TSR,5186,3622,16,1546
8,ALP,6285,4884,15,1383
9,PTA,3881,2850,3,1026
10,KNR,4226,3226,30,968
11,PKD,4951,4309,4,636
12,WYD,1665,1377,5,283
13,IDK,1862,1577,3,281
