,District,Confirmed,Recoverd,Death,Active
0,TVM,26416,19176,171,7037
1,MPM,15528,11749,48,3725
2,KKD,11635,7932,47,3651
3,EKM,11553,7872,54,3619
4,KLM,8934,5960,40,2931
5,TSR,8680,5778,38,2862
6,ALP,9899,7080,19,2797
7,KTM,7661,4876,8,2777
8,KNR,7814,5022,36,2753
9,PKD,7986,5666,22,2296
10,KGD,8402,6110,41,2248
11,PTA,5832,4455,3,1372
12,IDK,2617,1928,5,684
13,WYD,2764,2094,3,666
