,District,Confirmed,Recoverd,Death,Active
0,TVM,26949,19695,175,7047
1,EKM,11852,8170,54,3621
2,KKD,12011,8351,47,3608
3,MPM,15877,12235,56,3580
4,KNR,8128,5061,39,3025
5,TSR,8863,5918,38,2905
6,KLM,9129,6203,40,2883
7,KTM,7817,5012,8,2797
8,ALP,10011,7315,19,2675
9,PKD,8153,5838,25,2289
10,KGD,8512,6286,41,2182
11,PTA,5848,4535,3,1309
12,IDK,2846,2131,3,711
13,WYD,2635,1974,5,656
