,District,Confirmed,Recoverd,Death,Active
0,TVM,31221,21565,208,9415
1,EKM,14856,9493,59,5296
2,KKD,15166,10102,61,4998
3,MPM,19206,14662,64,4474
4,KLM,11577,7160,47,4367
5,TSR,11385,7157,45,4180
6,ALP,12333,8449,34,3846
7,KNR,9896,6212,40,3641
8,KTM,9300,5887,12,3401
9,PKD,9992,6783,26,3182
10,KGD,9637,7151,47,2436
11,PTA,6987,5147,5,1834
12,IDK,3339,2422,3,912
13,WYD,3044,2340,5,699
