,District,Confirmed,Recoverd,Death,Active
0,TVM,23774,17646,160,5939
1,MPM,14214,10770,42,3396
2,KKD,10283,7000,47,3231
3,EKM,10317,7173,50,3086
4,KLM,7813,5221,35,2554
5,ALP,9058,6508,19,2528
6,TSR,7681,5235,31,2413
7,KNR,7020,4605,36,2376
8,KTM,6899,4524,3,2372
9,KGD,7858,5635,37,2183
10,PKD,7080,5273,18,1787
11,PTA,5320,4084,3,1231
12,IDK,2540,1902,3,634
13,WYD,2357,1765,5,587
