,District,Confirmed,Recoverd,Death,Active
0,TVM,32074,21999,214,9828
1,EKM,15780,9830,61,5881
2,KKD,16122,10505,65,5546
3,MPM,20121,15061,64,4990
4,KLM,12267,7429,48,4787
5,TSR,11958,7372,46,4537
6,ALP,12809,8755,35,4015
7,KNR,10228,6365,42,3818
8,KTM,9726,6010,13,3703
9,PKD,10480,6989,28,3462
10,KGD,9889,7361,48,2476
11,PTA,7250,5272,5,1972
12,IDK,3464,2516,3,943
13,WYD,3216,2457,5,754
