,District,Confirmed,Recoverd,Death,Active
0,TVM,29357,20781,200,8343
1,KKD,13792,9216,60,4511
2,EKM,13472,8922,56,4486
3,MPM,17596,13588,60,3942
4,KLM,10419,6765,45,3606
5,TSR,10184,6665,40,3476
6,ALP,11368,7896,26,3443
7,KNR,9042,5848,40,3151
8,KTM,8589,5531,8,3050
9,PKD,9026,6337,26,2662
10,KGD,9145,6967,41,2134
11,PTA,6467,4878,3,1585
12,IDK,3118,2289,3,824
13,WYD,2881,2167,5,709
